COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2.2556,10.705351,0.6888,12.42,10.009828,0,14.933788
2.2556,12.528168,0.6888,12.42,12.543453,4.882782,13.008726
2.2556,11.891679,0.6888,12.42,11.435921,1.603176,14.125989
2.2556,12.00859,0.6888,12.42,8.9068875,3.4526736,13.92868
2.2556,10.705776,0.6888,12.42,10.008238,0,14.933788
2.2556,11.620016,0.6888,12.42,10.759788,2.3813553,14.075468
2.2556,10.705776,0.6888,12.42,10.008238,0,14.933788
2.2556,10.705776,0.6888,12.42,10.008238,0,14.933788
2.2556,11.263451,0.6888,12.42,11.295226,1.327976,14.348651
2.2556,12.178845,0.6888,12.42,12.963596,2.8025828,13.581815
2.2556,10.22349,0.6888,12.42,17.928581,1.4998646,13.674161
2.2556,10.063607,0.6888,12.42,17.35027,0.80245139,13.946587
2.2556,11.433066,0.6888,12.42,21.884229,3.7980214,12.379807
2.2556,9.528106,0.6888,12.42,16.533955,0.29809233,14.265918
2.2556,9.5161939,0.6888,12.42,16.641693,1.7698188,13.842162
2.2556,9.7220237,0.6888,12.42,16.932036,0.60196367,14.117873
2.2556,10.111443,0.6888,12.42,19.994067,2.4259299,13.224069
2.2556,11.397433,0.6888,12.42,23.47436,4.9496199,11.876292
2.2556,10.395075,0.6888,12.42,19.997932,1.7028452,13.336701
2.2556,10.082266,0.6888,12.42,18.254109,0.88051153,13.819096
2.2556,8.6429757,0.6888,12.42,14.826633,1.0929385,13.979289
2.2556,10.057687,0.6888,12.42,21.020645,4.2140595,12.114659
2.2556,12.235651,0.6888,12.42,19.018659,6.8513426,11.21354
2.2556,9.9854887,0.6888,12.42,20.157881,4.2131613,12.404808
2.2556,8.9573401,0.6888,12.42,16.244564,1.8613266,13.614
2.2556,8.9560262,0.6888,12.42,19.002557,1.5989933,13.309339
2.2556,9.2172709,0.6888,12.42,18.747158,2.3259547,13.116948
2.2556,10.649144,0.6888,12.42,15.271352,4.9349137,12.538136
2.2556,9.2073224,0.6888,12.42,14.684645,2.852328,13.465426
2.2556,9.2234074,0.6888,12.42,14.690231,1.981402,13.649884
2.2556,7.4992733,0.6888,12.42,13.461977,0.46021631,14.593715
2.2556,6.9627153,0.6888,12.42,14.732693,0.85038063,14.472654
2.2556,7.3316512,0.6888,12.42,19.289332,4.0383492,13.033381
2.2556,7.6276332,0.6888,12.42,13.921085,0.59204827,14.435283
2.2556,6.8948204,0.6888,12.42,15.771181,1.9024483,14.085078
2.2556,6.2342288,0.6888,12.42,18.096158,4.046418,13.30629
2.2556,7.5656913,0.6888,12.42,13.459088,0,14.698161
2.2556,6.9793627,0.6888,12.42,16.319897,2.4626227,13.66593
2.2556,7.575528,0.6888,12.42,19.888163,9.2729724,11.465236
2.2556,7.6388603,0.6888,12.42,16.960571,2.2686722,13.638726
2.2556,9.05714,0.6888,12.42,17.423665,2.6319485,13.498208
2.2556,9.3572278,0.6888,12.42,22.37564,3.8339844,12.588903
2.2556,9.8895036,0.6888,12.42,18.374455,2.5265543,13.07765
2.2556,8.3440132,0.6888,12.42,14.349538,0.38500142,14.540256
2.2556,8.424878,0.6888,12.42,15.157357,4.5218846,13.334329
2.2556,8.8708257,0.6888,12.42,24.248088,5.1544117,12.130116
2.2556,8.3523488,0.6888,12.42,14.281231,0.35684988,14.54731
2.2556,10.789765,0.6888,12.42,22.199016,7.9842161,11.167741
2.2556,8.2483826,0.6888,12.42,15.099982,0.69697612,14.423579
2.2556,8.29295,0.6888,12.42,15.539638,0.7694566,14.353923
2.2556,7.9315625,0.6888,12.42,17.00113,0.54562794,14.357624
2.2556,9.5745453,0.6888,12.42,20.848097,10.242174,10.703463
2.2556,10.913712,0.6888,12.42,25.954401,5.826155,11.299638
2.2556,8.7870805,0.6888,12.42,16.903992,4.6266275,13.103298
2.2556,7.4327833,0.6888,12.42,17.863532,0,14.494956
2.2556,10.553013,0.6888,12.42,26.230806,10.949873,9.9540849
2.2556,7.6431296,0.6888,12.42,19.260067,4.3021076,13.03165
2.2556,8.6910697,0.6888,12.42,19.610657,2.9594597,13.287937
2.2556,7.4327833,0.6888,12.42,17.863532,0,14.494956
2.2556,7.9194158,0.6888,12.42,17.461321,0.63044935,14.299214
2.2556,7.7955912,0.6888,12.42,14.335054,0,14.520879
2.2556,7.7848927,0.6888,12.42,14.362234,0,14.520623
2.2556,7.8014183,0.6888,12.42,14.332233,0.012652202,14.516953
2.2556,10.510966,0.6888,12.42,20.317974,5.8672482,11.661776
2.2556,7.7955912,0.6888,12.42,14.335054,0,14.520879
2.2556,7.7955912,0.6888,12.42,14.335054,0,14.520879
2.2556,7.7955912,0.6888,12.42,14.335054,0,14.520879
2.2556,8.3664339,0.6888,12.42,14.473128,0.68949117,14.225497
2.2556,8.4636632,0.6888,12.42,15.900973,2.7309653,13.522222
2.2556,10.04811,0.6888,12.42,23.032627,6.4190063,11.444222
2.2556,8.6720656,0.6888,12.42,13.695277,0,14.563379
2.2556,8.6720656,0.6888,12.42,13.695277,0,14.563379
2.2556,9.7521755,0.6888,12.42,18.048882,6.0857613,12.218653
2.2556,8.9216902,0.6888,12.42,20.080361,1.8238921,13.271794
2.2556,8.6720656,0.6888,12.42,13.695277,0,14.563379
2.2556,8.6720656,0.6888,12.42,13.695277,0,14.563379
2.2556,8.5669119,0.6888,12.42,16.093818,0.81474501,14.106043
2.2556,10.116395,0.6888,12.42,22.344192,4.316325,12.182784
2.2556,8.6157434,0.6888,12.42,20.58284,2.1978563,13.249098
2.2556,8.8326734,0.6888,12.42,13.788178,0.22689127,14.46673
2.2556,12.29416,0.6888,12.42,12.475693,0,14.546159
2.2556,12.596916,0.6888,12.42,12.322986,0.43680349,14.39373
2.2556,14.066769,0.6888,12.42,20.865968,3.3085836,12.339838
2.2556,12.29416,0.6888,12.42,12.475693,0,14.546159
2.2556,12.29416,0.6888,12.42,12.475693,0,14.546159
2.2556,13.244344,0.6888,12.42,14.725011,2.2228616,13.549062
2.2556,12.433193,0.6888,12.42,11.804373,0.57507304,14.439783
2.2556,13.862357,0.6888,12.42,23.071998,8.2398991,10.737889
2.2556,12.448197,0.6888,12.42,11.604314,0.54959505,14.461792
2.2556,12.29416,0.6888,12.42,12.475693,0,14.546159
2.2556,9.0504443,0.6888,12.42,22.432517,3.7531145,12.588641
2.2556,10.031018,0.6888,12.42,22.896102,3.8118364,12.364268
2.2556,10.422285,0.6888,12.42,20.620887,0.2383052,13.467172
2.2556,10.327677,0.6888,12.42,20.189489,0.10888894,13.568366
2.2556,10.265626,0.6888,12.42,20.35044,0,13.590297
2.2556,9.180931,0.6888,12.42,25.523179,3.2507306,12.233143
2.2556,10.532664,0.6888,12.42,22.88156,1.8071624,12.799283
2.2556,11.351299,0.6888,12.42,25.71176,3.8473106,11.687357
2.2556,10.631537,0.6888,12.42,23.029353,2.1970466,12.665892
2.2556,11.871964,0.6888,12.42,23.865704,5.10102,11.477707
2.2556,11.200449,0.6888,12.42,18.864328,7.2142996,11.438562
